,city,state,status,lastUpdated,totalAvailable,pctAvailable,queryTime
201,WILBRAHAM,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
202,WILMINGTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
203,WINCHENDON,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
204,WINCHESTER,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
205,WINTHROP,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
206,WOBURN,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
207,WOLLASTON,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
208,WORCESTER,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
209,WRENTHAM,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
0,BELLA VISTA,AR,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
1,BRYANT,AR,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
2,CONWAY,AR,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
3,FAYETTEVILLE,AR,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
4,FORT SMITH,AR,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
5,HOT SPRINGS,AR,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
6,JONESBORO,AR,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
7,LITTLE ROCK,AR,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
8,NORTH LITTLE ROCK,AR,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
9,PARAGOULD,AR,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
10,ROGERS,AR,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
11,RUSSELLVILLE,AR,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
12,SHERWOOD,AR,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
13,SPRINGDALE,AR,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
14,VAN BUREN,AR,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
0,ANSONIA,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
1,AVON,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
2,BERLIN,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
3,BETHEL,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
4,BLOOMFIELD,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
5,BRANFORD,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
6,BRIDGEPORT,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
7,BRISTOL,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
8,BROOKFIELD,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
9,BROOKLYN,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
10,BURLINGTON,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
11,CANTON,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
12,CHESHIRE,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
13,CLINTON,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
14,COLCHESTER,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
15,COS COB,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
16,COVENTRY,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
17,CROMWELL,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
18,DANBURY,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
19,DARIEN,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
20,DAYVILLE,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
21,DERBY,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
22,EAST HAMPTON,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
23,EAST HARTFORD,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
24,EAST HAVEN,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
25,EAST LYME,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
26,ENFIELD,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
27,FAIRFIELD,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
28,FARMINGTON,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
29,GALES FERRY,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
30,GLASTONBURY,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
31,GRANBY,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
32,GREENWICH,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
33,GUILFORD,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
34,HAMDEN,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
35,HARTFORD,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
36,HEBRON,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
37,KENSINGTON,CT,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
38,LISBON,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
39,LITCHFIELD,CT,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
40,MADISON,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
41,MANCHESTER,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
42,MERIDEN,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
43,MIDDLETOWN,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
44,MILFORD,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
45,MONROE,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
46,MYSTIC,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
47,NAUGATUCK,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
48,NEW BRITAIN,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
49,NEW CANAAN,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
50,NEW HAVEN,CT,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
51,NEW LONDON,CT,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
